rank,gh7,lat,lon,impact,n,tier3_share,heavy_share,mappls_street,mappls_subLocality,mappls_locality,mappls_district,road_class,road_exposure,impact_capacity
71,tdr1v6k,12.977203119676213,77.58023222254047,98.73,803,0.022,0.057,1st Main Road,Sri Kanakadasa Circle,Gandhi Nagar,Bengaluru Urban District,main road,1.35,133.28
73,tdr1ybv,12.968924273434032,77.64800443556497,98.69,57,0.175,0.035,Jeevan Bhima Nagar Main Road,Indian Airlines Staff Quarters,Indiranagar,Bengaluru Urban District,main road,1.35,133.23
78,tdr1ycm,12.97098869800923,77.64745260228266,98.6,136,0.485,0.022,4th Main Road,The Junction,Indiranagar,Bengaluru Urban District,main road,1.35,133.11
89,tdr3b37,12.97200825614035,77.71149565438596,98.4,57,0.404,0.07,2nd Main Road,SJR Brooklyn Apartment,Kundalhalli,Bengaluru Urban District,main road,1.35,132.84
91,tdr1v0r,12.965880400579712,77.57378992608696,98.36,345,0.391,0.014,AS Char Main Road,,Sultanpete,Bengaluru Urban District,main road,1.35,132.79
93,tdr1z1s,12.97250528493314,77.65773981333113,98.32,53,0.132,0.057,1st Main Road,HAL Stage 3,New Thippasandra,Bengaluru Urban District,main road,1.35,132.74
10,tdr6001,13.008084070967742,77.69682238709677,99.84,62,0.887,0.032,1st Cross Road,Nanjamma Layout,KR Puram,Bengaluru Urban District,cross/junction,1.2,119.8
26,tdr38jg,12.952081809093562,77.70004489386608,99.54,232,0.659,0.362,2nd Cross Road,Marathahalli Village,Marathahalli,Bengaluru Urban District,cross/junction,1.2,119.45
1,tdr1zmv,12.996555759412237,77.66938846018412,100.0,87,0.793,0.31,MBT Road,Tin Factory Junction,Dooravani Nagar,Bengaluru Urban District,local,1.0,100.0
2,tdr1zqj,12.99718472440759,77.66994432231729,99.98,94,0.681,0.426,MBT Road,Annaiah Reddy Industrial Area,Dooravani Nagar,Bengaluru Urban District,local,1.0,99.98
3,tdr3858,12.93973288841342,77.69557731104813,99.96,1192,0.947,0.07,Kadubeesanahalli Underpass,Kadubisanahalli Junction,Kadubisanahalli,Bengaluru Urban District,local,1.0,99.96
6,tdr1zmu,12.996175827620116,77.66845894210168,99.91,1139,0.651,0.162,MBT Road,Pai Layout,Mahadevapura,Bengaluru Urban District,local,1.0,99.91
7,tdr4pbp,13.008235539011372,77.69471723099761,99.89,1127,0.255,0.025,MBT Road,Devasandra Junction,KR Puram,Bengaluru Urban District,local,1.0,99.89
9,tdr1xgx,12.939630164955167,77.69472388702883,99.85,88,0.205,0.057,Yemalur Road,Kadubisanahalli Junction,Kadubisanahalli,Bengaluru Urban District,local,1.0,99.85
12,tdr4pbn,13.00830140085837,77.69355554034335,99.8,233,0.159,0.03,MBT Road,Devasandra Junction,KR Puram,Bengaluru Urban District,local,1.0,99.8
14,tdr6003,13.010044446555556,77.69730904651851,99.76,270,0.367,0.052,MBT Road,YSM Layout,KR Puram,Bengaluru Urban District,local,1.0,99.76
17,tdr1zwd,13.000437365404988,77.67694617923867,99.71,1030,0.391,0.041,MBT Road,Kotturu,Dooravani Nagar,Bengaluru Urban District,local,1.0,99.71
18,tdr1zmg,12.995703674126748,77.66720008716078,99.69,78,0.615,0.167,Old Madras Road,Pai Layout,Mahadevapura,Bengaluru Urban District,local,1.0,99.69
22,tdr1xfu,12.935381883485944,77.69027731603327,99.62,352,0.122,0.077,Kariyammana Agrahara Road,Prestige Silver Crest,Kadubisanahalli,Bengaluru Urban District,local,1.0,99.62
27,tdr1v0p,12.964722410679514,77.57385656364208,99.53,396,0.313,0.035,Mysore Road,Chanda Nagar,Sultanpete,Bengaluru Urban District,local,1.0,99.53
37,tdr6000,13.008272085742838,77.69571745169887,99.34,1501,0.338,0.011,MBT Road,Devasandra Junction,KR Puram,Bengaluru Urban District,local,1.0,99.34
43,tdr1ycj,12.970194699982557,77.64748134321951,99.24,119,0.286,0.025,Sir CV Raman Hospital Road,The Junction,Indiranagar,Bengaluru Urban District,local,1.0,99.24
46,tdr38ns,12.956823877606706,77.70128633668277,99.18,145,0.303,0.262,HAL Airport Road,,Marathahalli,Bengaluru Urban District,local,1.0,99.18
47,tdr1upv,13.007255358940398,77.52677085695363,99.16,151,0.715,0.371,Dr Rajkumar Puniya Bhoomi Road,Freedom Fighters Colony,Laggere,Bengaluru Urban District,local,1.0,99.16
75,tdr1usy,12.990102105333333,77.550613888,98.65,75,0.267,0.027,Chord Road,Shivanahalli Junction,Rajaji Nagar,Bengaluru Urban District,local,1.0,98.65
76,tdr1v67,12.97689850781609,77.57933412758621,98.63,1305,0.011,0.03,Y Ramachandra Road,Sri Kanakadasa Circle,Gandhi Nagar,Bengaluru Urban District,local,1.0,98.63
77,tdr1smz,12.952280086007255,77.54093319021077,98.62,427,0.164,0.028,Mysore Road,,BR Pura,Bengaluru Urban District,local,1.0,98.62
83,tdr4h0j,13.008680823489932,77.52676890872483,98.51,149,0.356,0.06,Dr Rajkumar Puniya Bhoomi Road,Malleshwar Layout,Laggere,Bengaluru Urban District,local,1.0,98.51
84,tdr1xf1,12.93146452309784,77.68622865695025,98.49,105,0.152,0.029,Devarabisanahalli Road,Shilpitha Tech Park,Kariyammana Agrahara,Bengaluru Urban District,local,1.0,98.49
86,tdr4h3b,13.018078160606061,77.53166539333333,98.45,165,0.424,0.121,Dr Rajkumar Puniya Bhoomi Road,Block 2,Nandini Layout,Bengaluru Urban District,local,1.0,98.45
87,tdr4h38,13.016771436645964,77.53127067018633,98.43,161,0.224,0.075,Dr Rajkumar Puniya Bhoomi Road,Block 3,Nandini Layout,Bengaluru Urban District,local,1.0,98.43
92,tdr38nu,12.95765713685121,77.70106162647059,98.34,578,0.138,0.036,Marathahalli Underpass,Ashwath Nagar,Marathahalli,Bengaluru Urban District,local,1.0,98.34
94,tdr1usq,12.987849658139535,77.55008321860464,98.31,86,0.209,0.047,Vatal Nagaraj Road,Dhobi Ghat Junction,Rajaji Nagar,Bengaluru Urban District,local,1.0,98.31
95,tdr38tb,12.951746312775331,77.71746989603524,98.29,227,0.674,0.15,Vibgyor High School Road,Green Garden Layout,Munnekolala,Bengaluru Urban District,local,1.0,98.29
